# nrNodes DER PacketSeq RecPackets LostPackets CollidedPackets
1000 0.0853500882692 71939 6140 65751 48
1000 0.0743662520522 71874 5345 66511 18
1000 0.0615766293137 71748 4418 65918 1412
1000 0.0602507302484 71551 4311 65991 1248
1000 0.0566171562083 71904 4071 66505 1326
1000 0.0527103218031 72187 3805 67064 1316
1000 0.0526067730354 72139 3795 67250 1092
1000 0.0577226981619 72138 4164 66574 1400
1000 0.0630057480886 71676 4516 65584 1576
1000 0.061071154249 71605 4373 65788 1443
1000 0.0721818055844 72165 5209 66878 78
1000 0.0675670037135 71899 4858 66984 57
1000 0.299916678239 72010 21597 49227 1186
1000 0.311049892021 72236 22469 49767 0
1000 0.304579782443 72165 21980 49017 1168
1000 0.112612299874 72017 8110 50582 13322
1000 0.107532120436 71839 7725 49992 14121
1000 0.115892147983 71765 8317 48737 14708
1000 0.112477982886 72103 8110 50056 13936
1000 0.119830520247 71985 8626 48730 14627
1000 0.107390589743 71794 7710 50063 14021
1000 0.115370695175 71838 8288 48758 14792
10 0.487704918033 732 357 370 5
10 0.317991631799 717 228 487 2
10 0.0 722 0 722 0
10 0.305397727273 704 215 484 5
10 0.989056087551 731 723 0 0
10 1.0 718 718 0 0
10 0.407079646018 791 322 465 4
10 0.272727272727 737 201 533 3
10 0.0933125972006 643 60 583 0
10 0.226519337017 724 164 560 0
10 0.474269819193 719 341 365 13
10 0.0 728 0 728 0
10 0.0 741 0 741 0
10 0.0 715 0 715 0
10 0.0 730 0 730 0
10 0.0 709 0 709 0
10 0.0 710 0 710 0
10 0.0 738 0 738 0
10 0.0 701 0 700 0
10 0.0 746 0 746 0
10 0.0 724 0 724 0
10 0.198973042362 779 155 624 0
10 0.207831325301 664 138 526 0
100 0.345877378436 7095 2454 4633 8
100 0.29389632107 7176 2109 5064 3
100 0.356636415201 7052 2515 4530 7
100 0.451258077822 7273 3282 3987 4
100 0.989344262295 7320 7242 0 78
1000 0.863637626017 72014 62194 0 9819
1000 0.863669275112 71818 62027 0 9789
1000 0.864094914313 72065 62271 0 9794
