# nrNodes DER PacketSeq RecPackets LostPackets CollidedPackets
3000 0.676929750483 216699 146690 0 70008
3000 0.681293635548 214991 146472 0 68517
3000 0.676314218687 216117 146163 0 69950
100 0.983794355965 7158 7042 0 116
100 0.984861227923 7134 7026 0 108
100 0.990183879441 7233 7162 0 71
100 0.988059291792 7286 7199 0 87
100 0.987277001798 7231 7139 0 92
100 0.986035469906 7161 7061 0 100
100 0.985934726205 7323 7220 0 103
1000 0.863531215162 71760 61967 0 9791
1000 0.113911318103 72574 8267 64197 108
1000 0.11091224419 72075 7994 63975 106
1000 0.109799078648 72068 7913 64056 97
1000 0.107380680393 71782 7708 63998 76
1000 0.123840865673 71713 8881 62724 106
1000 0.105264625898 71705 7548 64070 87
1000 0.0923380273812 71509 6603 64807 98
1000 0.0948750648149 71357 6770 64515 70
1000 0.10487670478 72590 7613 64883 92
1000 0.105375746631 71990 7586 64313 91
1000 0.0952566096423 72016 6860 65070 85
1000 0.862451878309 71953 62056 0 9897
1000 0.86511492014 71876 62181 0 9694
1000 0.864537984518 71437 61760 0 9676
1000 0.865333055498 71985 62291 0 9694
1000 0.835328463075 71591 59802 4185 7604
1000 0.862780906708 71732 61889 0 9843
1000 0.587294554216 72221 42415 27608 2198
1000 0.866060412826 72137 62475 0 9661
1000 0.858692011388 71652 61527 0 10125
100 0.991199888253 7159 7096 0 63
100 0.988062187674 7204 7118 0 86
100 0.989451769604 7205 7129 0 76
100 0.982815507286 7274 7149 0 125
100 0.989516354487 7154 7079 0 75
100 0.986882076774 7242 7147 0 94
100 0.985298121427 7346 7238 0 108
100 0.987052341598 7260 7166 0 94
100 0.900792566275 7318 6592 657 69
100 0.0434662619015 7247 315 6932 0
100 0.0691051235516 7163 495 6668 0
100 0.940311295159 7003 6585 358 60
1000 0.840065860159 71667 60205 2948 8512
3000 0.671554102854 215996 145053 11762 59180
3000 0.671374856049 216219 145164 10588 60466
3000 0.671029948189 215205 144409 11121 59675
3000 0.0433751191944 214985 9325 205542 112
3000 0.670862338533 214904 144171 9611 61120
3000 0.670481377192 215569 144535 12056 58976
3000 0.671642414344 215512 144747 10964 59800
1000 0.832173744318 72152 60043 3880 8228
1000 0.830056531789 71818 59613 4542 7662
5000 0.560705892811 359998 201853 0 158141
5000 0.561673965828 358717 201482 0 157235
5000 0.562822026248 360025 202630 0 157390
500 0.118157061079 35986 4252 31713 19
500 0.928675318863 35752 33202 0 2550
500 0.929052924791 35900 33353 0 2547
6 0.9902200489 409 405 0 4
100 0.987000279564 7154 7061 0 93
100 0.98773690078 7176 7088 0 88
100 0.996965517241 7250 7228 0 22
100 0.995632572556 7098 7067 0 31
100 0.996396396396 7215 7189 0 26
100 0.996696944674 7266 7242 0 24
100 0.997410738621 7338 7319 0 19
100 0.996701937612 7277 7253 0 24
100 0.997510717743 7231 7213 0 18
100 0.998077979132 7284 7270 0 14
100 0.998296906046 7046 7034 0 12
100 0.998877192982 7125 7117 0 8
100 0.998076394614 7278 7264 0 14
100 0.996979266786 7283 7261 0 22
100 0.997540647629 7319 7301 0 18
100 0.99556848082 7221 7189 0 32
100 0.99791086351 7180 7165 0 15
100 0.997819272182 7337 7321 0 16
100 0.997797356828 7264 7248 0 16
100 0.40929142542 7254 2969 4281 4
100 0.998050682261 7182 7168 0 14
100 0.998008251529 7029 7015 0 14
100 0.998606854277 7178 7168 0 10
100 0.998611882288 7204 7194 0 10
100 0.996118658165 7214 7186 0 28
100 0.998339100346 7225 7213 0 12
100 0.997747747748 7104 7088 0 16
100 0.996080078398 7143 7115 0 28
100 0.997759103641 7140 7124 0 16
100 0.998337950139 7220 7208 0 12
100 0.998331711386 7193 7181 0 12
100 0.99582289056 7182 7152 0 30
100 0.997500347174 7201 7183 0 18
100 0.998352553542 7284 7272 0 12
100 0.995813564052 7166 7136 0 30
100 0.997254632807 7285 7265 0 20
100 0.993925169129 7243 7199 0 44
100 0.997180716098 7094 7074 0 20
100 0.998062819981 7227 7213 0 14
100 0.998456140351 7125 7114 0 10
100 0.997248211337 7268 7248 0 20
100 0.998018400566 7065 7051 0 14
100 0.997025074373 7059 7038 0 20
100 0.99500485639 7207 7171 0 36
100 0.997183495282 7101 7081 0 20
100 0.997504159734 7212 7194 0 18
100 0.997502428195 7207 7189 0 18
100 0.995496129486 7105 7073 0 32
100 0.997241759757 7251 7231 0 20
100 0.996904895892 7108 7086 0 22
100 0.997187060478 7110 7090 0 20
100 0.997188642114 7114 7094 0 20
100 0.996127783156 7231 7203 0 28
100 0.997536271558 7306 7288 0 18
100 0.999168744805 7218 7212 0 6
100 0.995157384988 7021 6987 0 34
100 0.996099735339 7179 7151 0 28
100 0.996419226002 7261 7235 0 26
100 0.99703724605 7088 7067 0 20
100 0.998620309051 7248 7238 0 10
100 0.998038391481 7137 7123 0 14
100 0.998038941028 7139 7125 0 14
100 0.996680956991 7231 7207 0 24
100 0.997777777778 7200 7184 0 16
100 0.99670781893 7290 7266 0 24
100 0.997266639333 7317 7297 0 20
100 0.99748603352 7160 7142 0 18
100 0.997768479777 7170 7154 0 16
100 0.998895332781 7242 7234 0 8
100 0.998038941028 7139 7125 0 14
100 0.998051767325 7186 7172 0 14
100 0.996389891697 7202 7176 0 26
100 0.0 7159 0 7159 0
100 0.998613998614 7215 7205 0 10
100 0.995828118481 7191 7161 0 30
100 0.998603351955 7160 7150 0 10
100 0.997237569061 7240 7220 0 20
1000 0.967736992408 71785 69469 0 2314
1000 0.965911141338 72047 69591 0 2456
1000 0.969658607162 71882 69701 0 2180
1000 0.969449111941 72011 69811 0 2197
1000 0.96558564057 72092 69611 0 2481
1000 0.968015328028 71503 69216 0 2286
1000 0.96918400357 71716 69506 0 2210
1000 0.982745823005 71403 70171 0 1232
1000 0.983791373007 71937 70771 0 1165
1000 0.98277719463 72404 71157 0 1246
1000 0.987092391304 72128 71197 0 929
1000 0.986706713388 71916 70960 0 955
1000 0.98879536206 71756 70952 0 804
100 0.997907949791 7170 7155 0 15
100 0.998342770336 7241 7229 0 12
100 0.998320268757 7144 7132 0 12
100 0.999170583356 7234 7228 0 6
100 0.998586772188 7076 7066 0 10
100 0.998643699986 7373 7363 0 10
100 0.997791275538 7244 7228 0 16
100 0.992439014126 71287 70748 0 537
100 0.989977557535 71739 71020 0 719
100 1.0 703 703 0 0
100 1.0 711 711 0 0
100 1.0 728 728 0 0
100 1.0 718 718 0 0
100 1.0 727 727 0 0
100 1.0 747 747 0 0
100 1.0 703 703 0 0
100 1.0 729 729 0 0
100 1.0 725 725 0 0
1000 0.996968861945 7258 7236 0 22
1000 0.990025940877 72087 71368 0 718
1000 0.990802582512 71868 71207 0 661
1000 0.988021798667 72298 71432 0 866
1000 0.988897031373 72323 71520 0 803
1000 0.98982961483 72072 71339 0 733
1000 0.915465122752 71852 65778 0 6074
1000 0.914424252414 72801 66571 0 6230
1000 0.914056102267 72047 65855 0 6191
1000 0.91449793443 71893 65746 0 6147
1000 0.916545677909 71632 65654 0 5978
1000 0.41034545277 71703 29423 41374 906
1000 0.916549290864 71707 65723 0 5984
1000 0.916621593509 72105 66093 0 6011
