# nrNodes DER PacketSeq RecPackets LostPackets CollidedPackets
100 0.99472442038 7203 7165 0 38
100 0.996935079409 7178 7156 0 22
100 0.997217584864 7188 7168 0 20
100 0.996427099079 7277 7251 0 26
100 0.996012649526 7273 7244 0 29
100 0.995464852608 7056 7024 0 32
100 0.994430104605 7361 7320 0 41
100 0.993003078645 7146 7096 0 50
100 0.996134198537 7243 7215 0 28
100 0.9954489036 7251 7218 0 33
100 0.996437380104 7298 7272 0 26
100 0.997915798249 7197 7182 0 15
100 0.995909155029 7089 7060 0 29
100 0.992668418868 7229 7176 0 53
100 0.996043116387 7329 7300 0 29
100 0.997171945701 7072 7052 0 20
1000 0.952663709307 71911 68507 0 3404
5000 0.809179988249 359129 290600 0 68528
5000 0.811513906623 360260 292356 0 67902
1000 0.954744849797 72036 68776 0 3260
