# nrNodes DER PacketSeq RecPackets LostPackets CollidedPackets
100 0.191811242193 7205 1382 5822 1
100 0.179313268334 7077 1269 5806 2
100 0.182830109921 7187 1314 5872 1
100 0.224760601915 7310 1643 5666 1
1000 0.0981395478183 71918 7058 64778 82
