# nrNodes DER PacketSeq RecPackets LostPackets CollidedPackets
100 0.0 7227 0 7227 0
100 0.0 7125 0 7125 0
100 0.0092693565976 7336 68 7268 0
100 0.0 7252 0 7252 0
1000 0.000872419093515 72213 63 72150 0
1000 0.000986508454794 71971 71 71900 0
